model,bin,n,mean_predicted,observed_win_rate,gap
win_rate,"(-0.001, 0.1]",75,0.0,0.52,-0.52
win_rate,"(0.1, 0.2]",4,0.17142857142857143,0.5,-0.32857142857142857
win_rate,"(0.2, 0.3]",30,0.26971086035424274,0.5333333333333333,-0.2636224729790906
win_rate,"(0.3, 0.4]",314,0.36962500724125386,0.44904458598726116,-0.0794195787460073
win_rate,"(0.4, 0.5]",1904,0.4794886309806233,0.5462184873949579,-0.06672985641433465
win_rate,"(0.5, 0.6]",902,0.5504817839699223,0.6241685144124168,-0.07368673044249452
win_rate,"(0.6, 0.7]",294,0.6456250662983107,0.6972789115646258,-0.05165384526631511
win_rate,"(0.7, 0.8]",70,0.7427563111242331,0.7,0.04275631112423317
win_rate,"(0.8, 0.9]",4,0.8392857142857143,0.25,0.5892857142857143
win_rate,"(0.9, 1.0]",275,1.0,0.5709090909090909,0.4290909090909091
elo,"(0.3, 0.4]",81,0.37837764597445,0.35802469135802467,0.020352954616425334
elo,"(0.4, 0.5]",1650,0.4675977192607847,0.5006060606060606,-0.033008341345275916
elo,"(0.5, 0.6]",1981,0.540209437176675,0.6264512872286724,-0.08624185005199736
elo,"(0.6, 0.7]",160,0.6196264376483417,0.73125,-0.11162356235165827
