model,fold,n,log_loss,brier_score,accuracy,roc_auc
win_rate,test (simple split),3872,1.1800998618884126,0.26257890433284453,0.5872933884297521,0.5760639020833385
elo,test (simple split),3872,0.6824889387683581,0.24475483013795207,0.5506198347107438,0.5558998868813715
win_rate,2011-01-01→2014-01-01,1004,1.1978649452633587,0.2650746555244955,0.5707171314741036,0.5495831586984757
elo,2011-01-01→2014-01-01,1004,0.6841422575656468,0.24556407504541114,0.5657370517928287,0.5457052274264562
win_rate,2014-01-01→2017-01-01,1441,1.314014813501889,0.2711753928717282,0.5787647467036781,0.5410734261668678
elo,2014-01-01→2017-01-01,1441,0.679302965170477,0.24319640823055114,0.5815405968077724,0.5644829535658582
win_rate,2017-01-01→2020-01-01,1421,1.1300523625752907,0.26421554268140807,0.5496129486277269,0.5434029659061265
elo,2017-01-01→2020-01-01,1421,0.6890336778525024,0.24792646711665065,0.5376495425756509,0.5399474243974876
win_rate,2020-01-01→2023-01-01,1447,1.2016754453058385,0.26447803562577415,0.5888044229440221,0.5624161936593952
elo,2020-01-01→2023-01-01,1447,0.6796898787072947,0.24335410812924363,0.5694540428472702,0.5638332377430136
win_rate,2023-01-01→2026-01-01,1532,1.1522795115001245,0.26001945524702086,0.5900783289817232,0.5933852106487196
elo,2023-01-01→2026-01-01,1532,0.6795428804914784,0.24337446564853005,0.5515665796344648,0.5696873375956297
win_rate,2026-01-01→2029-01-01,387,1.150380571083884,0.25719553802787176,0.6046511627906976,0.6153098157852088
elo,2026-01-01→2029-01-01,387,0.6822380806765208,0.24450924905214833,0.5400516795865633,0.566014802009616
win_rate,pooled test,7232,1.1962486200919973,0.2645095654909779,0.5777101769911505,0.5628423515462062
elo,pooled test,7232,0.6821720603234493,0.24459402939689193,0.5597345132743363,0.557361668389967
