config,model,fold,n,log_loss,brier_score,accuracy,roc_auc,half_life_years
baseline,elo,test (simple split),3872,0.6824889387683581,0.24475483013795207,0.5506198347107438,0.5558998868813715,
baseline,elo,2011-01-01→2014-01-01,1004,0.6841422575656468,0.24556407504541114,0.5657370517928287,0.5457052274264562,
baseline,elo,2014-01-01→2017-01-01,1441,0.679302965170477,0.24319640823055114,0.5815405968077724,0.5644829535658582,
baseline,elo,2017-01-01→2020-01-01,1421,0.6890336778525024,0.24792646711665065,0.5376495425756509,0.5399474243974876,
baseline,elo,2020-01-01→2023-01-01,1447,0.6796898787072947,0.24335410812924363,0.5694540428472702,0.5638332377430136,
baseline,elo,2023-01-01→2026-01-01,1532,0.6795428804914784,0.24337446564853005,0.5515665796344648,0.5696873375956297,
baseline,elo,2026-01-01→2029-01-01,387,0.6822380806765208,0.24450924905214833,0.5400516795865633,0.566014802009616,
baseline,elo,pooled test,7232,0.6821720603234493,0.24459402939689193,0.5597345132743363,0.557361668389967,
half_life_1y,elo,test (simple split),3872,0.6832692345007576,0.24508459377994313,0.5661157024793388,0.5967917399704252,1
half_life_1y,elo,2011-01-01→2014-01-01,1004,0.6874139473800234,0.24714751365411428,0.5527888446215139,0.5566356404499977,1
half_life_1y,elo,2014-01-01→2017-01-01,1441,0.6878809175582398,0.24737390554602817,0.5593337959750173,0.5545744505968156,1
half_life_1y,elo,2017-01-01→2020-01-01,1421,0.6867742920331327,0.2468239708288906,0.5531315974665728,0.576652017739249,1
half_life_1y,elo,2020-01-01→2023-01-01,1447,0.6852723860705241,0.2460761296209956,0.5590877677954388,0.5857188062417183,1
half_life_1y,elo,2023-01-01→2026-01-01,1532,0.6814376252241244,0.24417327118348928,0.5822454308093995,0.6135807606179007,1
half_life_1y,elo,2026-01-01→2029-01-01,387,0.6777988013779068,0.2423821687448069,0.5633074935400517,0.6162281886445897,1
half_life_1y,elo,pooled test,7232,0.6851722891275863,0.2460296286597535,0.5622234513274337,0.582618114689851,1
half_life_2y,elo,test (simple split),3872,0.6796565663556049,0.24330162667510677,0.5702479338842975,0.6034246916747903,2
half_life_2y,elo,2011-01-01→2014-01-01,1004,0.6847229314971656,0.24582160003790662,0.5677290836653387,0.5630884848887248,2
half_life_2y,elo,2014-01-01→2017-01-01,1441,0.6842694304216266,0.24558176372535243,0.5794587092297016,0.5670039333298584,2
half_life_2y,elo,2017-01-01→2020-01-01,1421,0.683873312666866,0.2453835108769029,0.5686136523574947,0.5841751449842474,2
half_life_2y,elo,2020-01-01→2023-01-01,1447,0.6812882109052789,0.24410348277253874,0.5646164478230823,0.5946225500860313,2
half_life_2y,elo,2023-01-01→2026-01-01,1532,0.6768506119454683,0.2419103666619484,0.5822454308093995,0.6236034303256116,2
half_life_2y,elo,2026-01-01→2029-01-01,387,0.6751850186111893,0.24110797286456956,0.5839793281653747,0.6176867808330182,2
half_life_2y,elo,pooled test,7232,0.681600363750451,0.24426318912042688,0.5735619469026548,0.5913038619571751,2
half_life_3y,elo,test (simple split),3872,0.6782871677780435,0.24262935522368317,0.5764462809917356,0.6037240352163105,3
half_life_3y,elo,2011-01-01→2014-01-01,1004,0.6835525204558782,0.2452533716576375,0.5707171314741036,0.5619639055685351,3
half_life_3y,elo,2014-01-01→2017-01-01,1441,0.6823845871579035,0.244651368682381,0.5891741845940319,0.5722704254491655,3
half_life_3y,elo,2017-01-01→2020-01-01,1421,0.6828444993160281,0.24487333434235864,0.5721323011963406,0.5840948768888086,3
half_life_3y,elo,2020-01-01→2023-01-01,1447,0.6794189576274697,0.24318044655292867,0.572218382861092,0.5967288333366295,3
half_life_3y,elo,2023-01-01→2026-01-01,1532,0.6751099331565981,0.2410598605534873,0.587467362924282,0.6245115998805222,3
half_life_3y,elo,2026-01-01→2029-01-01,387,0.674622754627453,0.24082965837076037,0.5917312661498708,0.616957484738804,3
half_life_3y,elo,pooled test,7232,0.68008733538219,0.24351893056354887,0.5796460176991151,0.5927235163639031,3
half_life_4y,elo,test (simple split),3872,0.6777706865470459,0.2423786717620843,0.5787706611570248,0.6016692147638741,4
half_life_4y,elo,2011-01-01→2014-01-01,1004,0.683022446383939,0.2450014773027037,0.5707171314741036,0.5601629187605559,4
half_life_4y,elo,2014-01-01→2017-01-01,1441,0.6813071680373597,0.2441232108761214,0.5891741845940319,0.5743553709398693,4
half_life_4y,elo,2017-01-01→2020-01-01,1421,0.6825916032324015,0.24474793863679875,0.5742434904996482,0.5821684425982783,4
half_life_4y,elo,2020-01-01→2023-01-01,1447,0.678475704151272,0.24271644010331886,0.580511402902557,0.5967505883748987,4
half_life_4y,elo,2023-01-01→2026-01-01,1532,0.6744325062589194,0.24073565152227316,0.5822454308093995,0.621838887958466,4
half_life_4y,elo,2026-01-01→2029-01-01,387,0.6746438412561421,0.24083469291781645,0.599483204134367,0.615174760952947,4
half_life_4y,elo,pooled test,7232,0.6794182720639153,0.24319283517811344,0.5810287610619469,0.5916954177464251,4
half_life_5y,elo,test (simple split),3872,0.6776297766963264,0.24231350770818602,0.5741219008264463,0.5984050355085722,5
half_life_5y,elo,2011-01-01→2014-01-01,1004,0.6827809211774075,0.24489022330262855,0.5707171314741036,0.557585930724254,5
half_life_5y,elo,2014-01-01→2017-01-01,1441,0.6806464481897618,0.2438018980940666,0.5877862595419847,0.5745498322019832,5
half_life_5y,elo,2017-01-01→2020-01-01,1421,0.6826636519596833,0.24478369482288942,0.5686136523574947,0.5780125619569362,5
half_life_5y,elo,2020-01-01→2023-01-01,1447,0.6779851899749683,0.24247677430485906,0.5784381478921907,0.5951011609279513,5
half_life_5y,elo,2023-01-01→2026-01-01,1532,0.6742193427213956,0.24064054016697142,0.5789817232375979,0.6182079362969127,5
half_life_5y,elo,2026-01-01→2029-01-01,387,0.6748791575249511,0.2409452980157797,0.5943152454780362,0.6121495327102804,5
half_life_5y,elo,pooled test,7232,0.6791365407969285,0.24305821072728884,0.5782632743362832,0.5891652443067372,5
