fight_id,event_id,event_name,bout,weight_class,method,ending_round,ending_time,time_format,referee,details,fight_duration_seconds,fighter_id,fighter_name,opponent_id,opponent_name,result,opponent_result,significant_strikes_landed,significant_strikes_attempted,total_strikes_landed,total_strikes_attempted,takedowns_landed,takedowns_attempted,head_strikes_landed,head_strikes_attempted,body_strikes_landed,body_strikes_attempted,leg_strikes_landed,leg_strikes_attempted,distance_strikes_landed,distance_strikes_attempted,clinch_strikes_landed,clinch_strikes_attempted,ground_strikes_landed,ground_strikes_attempted,knockdowns,submission_attempts,reversals,control_time_seconds,rounds_with_stats,significant_strikes_pct,takedown_pct
0005e00b07cee542,805ad1801eb26abb,UFC Fight Night: Holm vs. Aldana,Holly Holm vs. Irene Aldana,Women's Bantamweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Mike Bell 44 - 50.Dave Tirelli 45 - 50.Clemens Werner 45 - 50.,300,578ef12674df1e6a,Irene Aldana,634e2fb70bde3fd5,Holly Holm,L,W,69.0,185.0,92.0,210.0,0.0,0.0,38.0,128.0,12.0,30.0,19.0,27.0,65.0,181.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,37.2972972972973,
0005e00b07cee542,805ad1801eb26abb,UFC Fight Night: Holm vs. Aldana,Holly Holm vs. Irene Aldana,Women's Bantamweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Mike Bell 44 - 50.Dave Tirelli 45 - 50.Clemens Werner 45 - 50.,300,634e2fb70bde3fd5,Holly Holm,578ef12674df1e6a,Irene Aldana,W,L,154.0,301.0,187.0,342.0,5.0,14.0,81.0,214.0,56.0,68.0,17.0,19.0,140.0,272.0,1.0,1.0,13.0,28.0,0.0,0.0,0.0,316.0,5.0,51.16279069767442,35.714285714285715
000da3152b7b5ab1,f70144caea5c4c80,UFC 61: Bitter Rivals,Joshua Burkman vs. Josh Neer,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,Abe Belardo 28 - 29.Chris Lee 27 - 30.Tony Weeks 28 - 29.,300,6da99156486ed6c2,Joshua Burkman,d1a1314976c50bef,Josh Neer,W,L,35.0,88.0,60.0,113.0,4.0,7.0,22.0,72.0,9.0,12.0,4.0,4.0,14.0,50.0,16.0,28.0,5.0,10.0,1.0,0.0,0.0,404.0,3.0,39.77272727272727,57.14285714285714
000da3152b7b5ab1,f70144caea5c4c80,UFC 61: Bitter Rivals,Joshua Burkman vs. Josh Neer,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,Abe Belardo 28 - 29.Chris Lee 27 - 30.Tony Weeks 28 - 29.,300,d1a1314976c50bef,Josh Neer,6da99156486ed6c2,Joshua Burkman,L,W,19.0,39.0,42.0,64.0,1.0,3.0,17.0,36.0,1.0,2.0,1.0,1.0,7.0,21.0,5.0,9.0,7.0,9.0,0.0,1.0,1.0,191.0,3.0,48.71794871794872,33.33333333333333
001441f70c293931,1d00756835ca67c9,UFC Fight Night: Volkov vs. Aspinall,Paddy Pimblett vs. Kazula Vargas,Lightweight Bout,Submission ,1,3:49,3 Rnd (5-5-5),Lukasz Bosacki,Rear Naked Choke ,229,7826923b47f8d72a,Paddy Pimblett,ec18eb918121787c,Kazula Vargas,W,L,3.0,6.0,5.0,8.0,1.0,2.0,1.0,4.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,53.0,1.0,50.0,50.0
001441f70c293931,1d00756835ca67c9,UFC Fight Night: Volkov vs. Aspinall,Paddy Pimblett vs. Kazula Vargas,Lightweight Bout,Submission ,1,3:49,3 Rnd (5-5-5),Lukasz Bosacki,Rear Naked Choke ,229,ec18eb918121787c,Kazula Vargas,7826923b47f8d72a,Paddy Pimblett,L,W,7.0,9.0,16.0,21.0,0.0,0.0,5.0,7.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,163.0,1.0,77.77777777777779,
0019ec81fd706ade,3ae10ac4df3df05c,UFC Fight Night: Reyes vs. Weidman,Greg Hardy vs. Ben Sosoli,Heavyweight Bout,Overturned ,3,5:00,3 Rnd (5-5-5),Bryan Miner,Illegal Inhaler Use by HardyLars Borssen 28 - 29.Sal D'amato 28 - 29.Marcel Varela 28 - 29.,300,326f94d6cfb1bf25,Ben Sosoli,85073dbd1be65ed9,Greg Hardy,NC,NC,26.0,97.0,26.0,97.0,0.0,0.0,15.0,78.0,10.0,18.0,1.0,1.0,26.0,96.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26.804123711340207,
0019ec81fd706ade,3ae10ac4df3df05c,UFC Fight Night: Reyes vs. Weidman,Greg Hardy vs. Ben Sosoli,Heavyweight Bout,Overturned ,3,5:00,3 Rnd (5-5-5),Bryan Miner,Illegal Inhaler Use by HardyLars Borssen 28 - 29.Sal D'amato 28 - 29.Marcel Varela 28 - 29.,300,85073dbd1be65ed9,Greg Hardy,326f94d6cfb1bf25,Ben Sosoli,NC,NC,54.0,105.0,54.0,105.0,0.0,0.0,22.0,72.0,5.0,5.0,27.0,28.0,52.0,103.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,51.42857142857142,
0027e179b743c86c,f54200f1dfb9b5d4,UFC 185: Pettis vs Dos Anjos,Jared Rosholt vs. Josh Copeland,Heavyweight Bout,KO/TKO ,3,3:12,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head From Side Control ,192,3aa794cbe1e3484b,Josh Copeland,91ea901c458e95dd,Jared Rosholt,L,W,9.0,36.0,19.0,46.0,0.0,0.0,7.0,34.0,2.0,2.0,0.0,0.0,6.0,28.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,
0027e179b743c86c,f54200f1dfb9b5d4,UFC 185: Pettis vs Dos Anjos,Jared Rosholt vs. Josh Copeland,Heavyweight Bout,KO/TKO ,3,3:12,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head From Side Control ,192,91ea901c458e95dd,Jared Rosholt,3aa794cbe1e3484b,Josh Copeland,W,L,22.0,45.0,51.0,79.0,2.0,6.0,19.0,41.0,3.0,4.0,0.0,0.0,9.0,24.0,3.0,4.0,10.0,17.0,0.0,0.0,0.0,321.0,3.0,48.888888888888886,33.33333333333333
