fight_id,fighter_id,round,fighter_name,significant_strikes_landed,significant_strikes_attempted,total_strikes_landed,total_strikes_attempted,takedowns_landed,takedowns_attempted,head_strikes_landed,head_strikes_attempted,body_strikes_landed,body_strikes_attempted,leg_strikes_landed,leg_strikes_attempted,distance_strikes_landed,distance_strikes_attempted,clinch_strikes_landed,clinch_strikes_attempted,ground_strikes_landed,ground_strikes_attempted,significant_strikes_pct,takedown_pct,knockdowns,submission_attempts,reversals,control_time_seconds
034c04e480d87b8f,9211aae062b799d6,1,Jean Silva,3,5,3,5,0,1,2,4,1,1,0,0,3,5,0,0,0,0,60.0,0.0,0.0,0.0,0.0,11
034c04e480d87b8f,9211aae062b799d6,2,Jean Silva,23,50,24,51,1,1,18,40,5,10,0,0,17,40,3,5,3,5,46.0,100.0,0.0,0.0,0.0,62
034c04e480d87b8f,9211aae062b799d6,3,Jean Silva,13,22,13,22,0,0,7,16,4,4,2,2,12,21,0,0,1,1,59.0,,1.0,1.0,0.0,24
034c04e480d87b8f,7d6ceff6747f2de2,1,Jose Delgado,17,34,18,35,0,0,4,16,2,4,11,14,16,32,1,2,0,0,50.0,,0.0,0.0,0.0,21
034c04e480d87b8f,7d6ceff6747f2de2,2,Jose Delgado,14,48,14,48,0,0,8,42,3,3,3,3,10,41,4,7,0,0,29.0,,0.0,0.0,0.0,0
034c04e480d87b8f,7d6ceff6747f2de2,3,Jose Delgado,9,26,9,26,0,1,5,21,0,0,4,5,9,25,0,0,0,1,34.0,0.0,0.0,0.0,0.0,0
1aa008d8597a73b8,792be9a24df82ed6,1,Brandon Moreno,27,72,29,74,0,0,16,58,10,13,1,1,26,71,1,1,0,0,37.0,,0.0,0.0,0.0,13
1aa008d8597a73b8,792be9a24df82ed6,2,Brandon Moreno,25,70,25,70,0,0,13,57,8,9,4,4,24,69,1,1,0,0,35.0,,0.0,0.0,0.0,0
1aa008d8597a73b8,792be9a24df82ed6,3,Brandon Moreno,15,38,17,40,2,2,6,29,4,4,5,5,11,31,2,2,2,5,39.0,100.0,0.0,0.0,0.0,141
1aa008d8597a73b8,2fe9032955c2e013,1,Joseph Morales,29,76,29,76,1,2,23,66,3,6,3,4,24,71,5,5,0,0,38.0,50.0,0.0,0.0,0.0,21
1aa008d8597a73b8,2fe9032955c2e013,2,Joseph Morales,26,71,26,71,0,3,22,65,3,5,1,1,25,68,1,3,0,0,36.0,0.0,0.0,0.0,0.0,0
1aa008d8597a73b8,2fe9032955c2e013,3,Joseph Morales,16,36,22,42,0,3,13,32,3,3,0,1,12,31,1,2,3,3,44.0,0.0,0.0,0.0,0.0,14
1fca7dfa9e1e15cb,6b0a6def604de298,1,Tommy McMillen,29,87,29,87,1,1,20,74,4,8,5,5,29,87,0,0,0,0,33.0,100.0,0.0,0.0,0.0,21
1fca7dfa9e1e15cb,6b0a6def604de298,2,Tommy McMillen,38,97,47,106,2,2,22,76,11,15,5,6,34,93,4,4,0,0,39.0,100.0,0.0,1.0,0.0,45
1fca7dfa9e1e15cb,6b0a6def604de298,3,Tommy McMillen,22,53,52,87,2,2,14,42,6,7,2,4,15,40,5,10,2,3,41.0,100.0,1.0,2.0,0.0,227
1fca7dfa9e1e15cb,6eedb757f13b9978,1,Marwan Rahiki,23,76,23,76,0,0,9,56,8,13,6,7,23,76,0,0,0,0,30.0,,0.0,0.0,0.0,0
1fca7dfa9e1e15cb,6eedb757f13b9978,2,Marwan Rahiki,46,81,46,81,0,1,32,63,12,15,2,3,39,74,7,7,0,0,56.0,0.0,1.0,0.0,0.0,2
