fold,model,n_train,n_test,log_loss,brier,auc,accuracy
2011-2014,M0,1500.0,1004,0.6822517056806935,0.24467890278957657,0.5749540441176471,0.5617529880478087
2014-2017,M0,2504.0,1441,0.6784796301866262,0.24278331940868392,0.5997863050230845,0.5676613462873005
2017-2020,M0,3945.0,1421,0.6893549608862729,0.24811031609357007,0.5513683972750942,0.5341308937368051
2020-2023,M0,5366.0,1447,0.6807677303527142,0.24388961431112988,0.5886040397710338,0.5666897028334485
2023-2026,M0,6813.0,1532,0.6793686426263218,0.24326079506017906,0.5884522498997294,0.5587467362924282
2026-2029,M0,8345.0,387,0.6783795065730063,0.2426192960646515,0.604372582724538,0.58656330749354
2011-2014,M4,1500.0,1004,0.6802852619831578,0.24358260918778482,0.5975523497442455,0.5687250996015937
2014-2017,M4,2504.0,1441,0.6831714101065696,0.24484566297444524,0.5953987174447553,0.5614156835530881
2017-2020,M4,3945.0,1421,0.6862625976307857,0.24660540739172307,0.5716555902971796,0.5439831104855736
2020-2023,M4,5366.0,1447,0.6778638234624887,0.24240181109673548,0.6011499896827641,0.5694540428472702
2023-2026,M4,6813.0,1532,0.6776753695496812,0.2423671134286168,0.5993872831383391,0.5678851174934726
2026-2029,M4,8345.0,387,0.6729500372181997,0.23993839881690499,0.6154517619252257,0.5710594315245479
2011-2014,Recency_only_4y,1500.0,1004,0.6824070515502905,0.24468996343761507,0.5798513427109974,0.5577689243027888
2014-2017,Recency_only_4y,2504.0,1441,0.6808656999466794,0.24390359556909408,0.6024714623750396,0.57529493407356
2017-2020,Recency_only_4y,3945.0,1421,0.6827441662300523,0.24482290727908043,0.5904002155830055,0.5686136523574947
2020-2023,Recency_only_4y,5366.0,1447,0.6788476512545969,0.24290364656482663,0.6105071494623574,0.5791292328956462
2023-2026,Recency_only_4y,6813.0,1532,0.6752695054408566,0.2411409693846657,0.6269117534113311,0.5835509138381201
2026-2029,Recency_only_4y,8345.0,387,0.6726745679552734,0.23983957886977136,0.6415314782982381,0.6046511627906976
2011-2014,M4_Recency_4y,1500.0,1004,0.677602932481475,0.2422553309828659,0.6006194053708439,0.5756972111553785
2014-2017,M4_Recency_4y,2504.0,1441,0.6831206415409816,0.24481485373393685,0.5957166585736198,0.5655794587092297
2017-2020,M4_Recency_4y,3945.0,1421,0.6769755978222439,0.24210065564884806,0.6000756918272642,0.5791695988740324
2020-2023,M4_Recency_4y,5366.0,1447,0.6725949339747253,0.2398213659695187,0.6161567914160597,0.5749827228749136
2023-2026,M4_Recency_4y,6813.0,1532,0.668631588381504,0.23797349668630358,0.6261522575800245,0.5953002610966057
2026-2029,M4_Recency_4y,8345.0,387,0.6621560664538179,0.2347137235390906,0.6447007950150409,0.6072351421188631
2011-2014,Recency_only_5y,1500.0,1004,0.6820213658217483,0.24450896350654094,0.5796715153452685,0.5607569721115537
2014-2017,Recency_only_5y,2504.0,1441,0.6801918797732398,0.24357504659665452,0.6040534603556316,0.5739070090215128
2017-2020,Recency_only_5y,3945.0,1421,0.6828512774797456,0.24487720920557499,0.58803435061564,0.5665024630541872
2020-2023,Recency_only_5y,5366.0,1447,0.6784591262753553,0.24271556800958416,0.6103103577406017,0.5818935729094679
2023-2026,Recency_only_5y,6813.0,1532,0.6749709379716357,0.2410017326181952,0.6252340356536358,0.5796344647519582
2026-2029,Recency_only_5y,8345.0,387,0.6726879001594199,0.2398396061495536,0.6448350880962613,0.6175710594315246
2011-2014,M4_Recency_5y,1500.0,1004,0.6776719065407347,0.24230876344377805,0.6001238810741688,0.5747011952191236
2014-2017,M4_Recency_5y,2504.0,1441,0.6826667561924409,0.24460521609997457,0.5963968598977963,0.5662734212352533
2017-2020,M4_Recency_5y,3945.0,1421,0.6775648098108493,0.24238435295038943,0.5982131180673618,0.5784658691062632
2020-2023,M4_Recency_5y,5366.0,1447,0.6727281556872241,0.23989387106250906,0.6155778798462349,0.5729094678645473
2023-2026,M4_Recency_5y,6813.0,1532,0.668996026213314,0.23815232615687504,0.6255685551658516,0.5972584856396866
2026-2029,M4_Recency_5y,8345.0,387,0.6629688962350596,0.23505912112991723,0.6445665019338204,0.6020671834625323
pooled test,M0,,7232,0.6817809450206574,0.2444068885999766,0.5824324530240264,0.5591814159292036
pooled test,M4,,7232,0.6806049280049475,0.24373946662695098,0.5941012015344808,0.5625
pooled test,M4_Recency_4y,,7232,0.6748500240261176,0.24093732200018697,0.61041212521376,0.5800608407079646
pooled test,M4_Recency_5y,,7232,0.6750322871767975,0.24102958454330492,0.6098662261317598,0.5796460176991151
pooled test,Recency_only_4y,,7232,0.6794211981598515,0.24319062699795588,0.6058346467515671,0.5756360619469026
pooled test,Recency_only_5y,,7232,0.6791141683340255,0.2430435791825621,0.6054420436074687,0.5757743362831859
