model,fold,feature,coefficient,abs_coefficient
M1_Elo_Striking,2011-2014,elo_difference,0.38095588948212344,0.38095588948212344
M1_Elo_Striking,2011-2014,sig_str_landed_per_fight_difference,0.2272620578082853,0.2272620578082853
M1_Elo_Striking,2011-2014,sig_str_attempted_per_fight_difference,0.04168538887646665,0.04168538887646665
M1_Elo_Striking,2011-2014,sig_str_pct_difference,0.024774640684103323,0.024774640684103323
M1_Elo_Striking,2011-2014,total_str_landed_per_fight_difference,0.17594820338737938,0.17594820338737938
M1_Elo_Striking,2011-2014,total_str_attempted_per_fight_difference,-0.25288100017498116,0.25288100017498116
M1_Elo_Striking,2011-2014,sig_str_landed_per_fight_difference__missing,0.016754480207816388,0.016754480207816388
M1_Elo_Striking,2011-2014,sig_str_attempted_per_fight_difference__missing,0.016754480207816388,0.016754480207816388
M1_Elo_Striking,2011-2014,sig_str_pct_difference__missing,-0.10465894685839525,0.10465894685839525
M1_Elo_Striking,2011-2014,total_str_landed_per_fight_difference__missing,0.016754480207815184,0.016754480207815184
M1_Elo_Striking,2011-2014,total_str_attempted_per_fight_difference__missing,0.016754480207815184,0.016754480207815184
M2_Elo_Grappling,2011-2014,elo_difference,0.40558638183448703,0.40558638183448703
M2_Elo_Grappling,2011-2014,takedowns_per_fight_difference,0.12981315462801002,0.12981315462801002
M2_Elo_Grappling,2011-2014,td_attempted_per_fight_difference,0.10072174174307207,0.10072174174307207
M2_Elo_Grappling,2011-2014,td_pct_difference,0.007632247128447095,0.007632247128447095
M2_Elo_Grappling,2011-2014,submission_attempts_per_fight_difference,-0.008808244978502255,0.008808244978502255
M2_Elo_Grappling,2011-2014,reversals_per_fight_difference,-0.0589350569553206,0.0589350569553206
M2_Elo_Grappling,2011-2014,takedowns_per_fight_difference__missing,0.000549372976180087,0.000549372976180087
M2_Elo_Grappling,2011-2014,td_attempted_per_fight_difference__missing,0.000549372976180087,0.000549372976180087
