fold,model,n_train,n_test,log_loss,brier,auc,accuracy
2011-2014,M0_Elo,1500,1004,0.6822517056806935,0.24467890278957657,0.5749540441176471,0.5617529880478087
2011-2014,M1_Elo_Striking,1500,1004,0.6855148650940928,0.24596655323362762,0.5787144341432224,0.5517928286852589
2011-2014,M2_Elo_Grappling,1500,1004,0.6800170683889685,0.24348833015559349,0.5891244405370843,0.5597609561752988
2011-2014,M3_Elo_Dominance,1500,1004,0.6847426212055909,0.24589833695173205,0.5764965632992328,0.5408366533864541
2011-2014,M4_Elo_All_Performance,1500,1004,0.68028526198327,0.24358260918784333,0.5975523497442455,0.5687250996015937
2011-2014,M5_Performance_Only,1500,1004,0.6864632294997587,0.24648138067394268,0.5772718190537085,0.5418326693227091
2014-2017,M0_Elo,2504,1441,0.6784796301866262,0.24278331940868392,0.5997863050230845,0.5676613462873005
2014-2017,M1_Elo_Striking,2504,1441,0.6791570439604543,0.2431298890055112,0.5992564031416437,0.5593337959750173
2014-2017,M2_Elo_Grappling,2504,1441,0.6850627556532224,0.2459617102064904,0.5830414055695579,0.5489243580846634
2014-2017,M3_Elo_Dominance,2504,1441,0.6830845176080528,0.2450068119295092,0.5853228740336517,0.5468424705065926
2014-2017,M4_Elo_All_Performance,2504,1441,0.6831714101065781,0.2448456629744491,0.5953987174447553,0.5614156835530881
2014-2017,M5_Performance_Only,2504,1441,0.6965293989183576,0.25123764068620674,0.5520749030761286,0.5287994448299792
2017-2020,M0_Elo,3945,1421,0.6893549608862729,0.24811031609357007,0.5513683972750942,0.5341308937368051
2017-2020,M1_Elo_Striking,3945,1421,0.6911874951644483,0.248837106505407,0.5596657670831698,0.5355383532723434
2017-2020,M2_Elo_Grappling,3945,1421,0.6879951086420114,0.24748075719675258,0.5629688633148264,0.5285010555946517
2017-2020,M3_Elo_Dominance,3945,1421,0.690380102099225,0.24856551943829538,0.5556790666524002,0.5228712174524982
2017-2020,M4_Elo_All_Performance,3945,1421,0.6862625976304803,0.24660540739176542,0.5716555902971796,0.5439831104855736
2017-2020,M5_Performance_Only,3945,1421,0.686946255068828,0.24690580878731236,0.558819683045427,0.5475017593244195
2020-2023,M0_Elo,5366,1447,0.6807677303527142,0.24388961431112988,0.5886040397710338,0.5666897028334485
2020-2023,M1_Elo_Striking,5366,1447,0.6811542773100531,0.24403073787666782,0.5914384137440867,0.5742916378714582
2020-2023,M2_Elo_Grappling,5366,1447,0.6753007475809781,0.24127974825195084,0.6037789742374798,0.5742916378714582
2020-2023,M3_Elo_Dominance,5366,1447,0.6770777101825982,0.24212210198489764,0.5988381646019458,0.5680718728403593
2020-2023,M4_Elo_All_Performance,5366,1447,0.6778638234625066,0.24240181109674244,0.6011499896827641,0.5694540428472702
2020-2023,M5_Performance_Only,5366,1447,0.6854775264368639,0.24606036677657797,0.5774728885967795,0.5494125777470629
2023-2026,M0_Elo,6813,1532,0.6793686426263218,0.24326079506017906,0.5884522498997294,0.5587467362924282
2023-2026,M1_Elo_Striking,6813,1532,0.6796550122414023,0.24336628295960303,0.5917274690014763,0.5620104438642297
2023-2026,M2_Elo_Grappling,6813,1532,0.6783169197469971,0.242714089890061,0.59585776093802,0.5548302872062664
2023-2026,M3_Elo_Dominance,6813,1532,0.6772011110466136,0.24220080260699453,0.5960847563213094,0.5607049608355091
2023-2026,M4_Elo_All_Performance,6813,1532,0.6776753695496812,0.2423671134286168,0.5993872831383391,0.5678851174934726
2023-2026,M5_Performance_Only,6813,1532,0.6871744354619397,0.24696039116160384,0.5670890828874495,0.5287206266318538
2026-2029,M0_Elo,8345,387,0.6783795065730063,0.2426192960646515,0.604372582724538,0.58656330749354
2026-2029,M1_Elo_Striking,8345,387,0.6727747301622147,0.23982979737515747,0.6233481951009885,0.5917312661498708
2026-2029,M2_Elo_Grappling,8345,387,0.6809099559949217,0.24383741526792438,0.584913515255694,0.5400516795865633
2026-2029,M3_Elo_Dominance,8345,387,0.6795897590067344,0.24315945450182666,0.5993903094112591,0.5788113695090439
2026-2029,M4_Elo_All_Performance,8345,387,0.6729500372181997,0.23993839881690499,0.6154517619252257,0.5710594315245479
2026-2029,M5_Performance_Only,8345,387,0.6836658022271287,0.24529439023116045,0.5740626342930814,0.5400516795865633
